,centers
354,"[-11006177.287784167, 2236833.946508912]"
355,"[-11006228.087885765, 2236865.696572412]"
356,"[-11006171.996106915, 2236909.0883258623]"
357,"[-11006194.221151367, 2236942.9550602622]"
358,"[-11006270.421303766, 2236884.746610512]"
359,"[-11006360.379817016, 2236891.096623212]"
360,"[-11006418.588266768, 2236921.788351262]"
361,"[-11006385.779867817, 2236942.9550602622]"
362,"[-11006347.679791616, 2236944.0133957122]"
363,"[-11006313.813057216, 2236934.488376662]"
364,"[-11006261.954620166, 2236944.0133957122]"
365,"[-11006427.054950368, 2237064.6636370127]"
366,"[-11006544.045114903, 2237199.204531096]"
367,"[-11006449.853259852, 2237245.771290896]"
368,"[-11006495.361684201, 2237095.4876569957]"
369,"[-11006468.903297951, 2237101.8376696957]"
370,"[-11006339.78637305, 2237092.3126506456]"
371,"[-11006262.5278852, 2237102.8960051457]"
372,"[-11006224.427809, 2237096.5459924457]"
373,"[-11006213.8444545, 2237128.2960559456]"
374,"[-11006225.486144451, 2237179.0961575457]"
375,"[-11006206.43610635, 2237206.612879246]"
376,"[-11006121.240102623, 2236766.874499769]"
377,"[-11006118.594263997, 2236610.770020893]"
378,"[-11006113.302586747, 2236576.3741187677]"
379,"[-11005962.489785122, 2236547.2698938926]"
380,"[-11005734.947663369, 2236211.248388516]"
381,"[-11005737.593501994, 2236184.7900022655]"
382,"[-11005721.718470244, 2236496.998960017]"
383,"[-11005679.385052245, 2236557.8532483927]"
384,"[-11005592.072377618, 2236563.1449256428]"
385,"[-11005771.98940412, 2236700.7285341434]"
386,"[-11005758.760210995, 2236647.8117616433]"
387,"[-11005727.010147495, 2236740.4161135186]"
388,"[-11005724.36430887, 2236698.0826955186]"
389,"[-11005605.301570743, 2236452.019703392]"
390,"[-11005578.843184493, 2236536.6865393925]"
391,"[-11005502.113864368, 2236592.249150518]"
392,"[-11005467.717962243, 2236573.728280143]"
393,"[-11005480.947155368, 2236534.0407007677]"
394,"[-11005515.343057493, 2236523.4573462675]"
395,"[-11005496.822187118, 2236481.123928267]"
396,"[-11005377.759448992, 2236475.832251017]"
397,"[-11005372.467771742, 2236449.373864767]"
398,"[-11005451.842930492, 2236414.977962642]"
399,"[-11005557.676475493, 2236367.3528673914]"
400,"[-11005404.217835242, 2236372.6445446415]"
401,"[-11005380.405287618, 2236399.102930892]"
402,"[-11005338.071869617, 2236354.1236742665]"
403,"[-11005393.634480743, 2236332.9569652663]"
404,"[-11005417.447028367, 2236322.373610766]"
405,"[-11005462.426284993, 2236325.0194493914]"
406,"[-11005430.676221494, 2236187.4358408903]"
407,"[-11005462.426284993, 2236729.8327590185]"
408,"[-11005414.801189743, 2236700.7285341434]"
